"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"39","ILMN_1688346",0.0906287892712641,8.41892378944662,4.03962018744835,6.33814965524339e-05,0.0243551724227973,0.620633592782576,"ZNF800","zinc finger protein 800"
"40","ILMN_1688622",0.094051064939217,9.02859341090483,4.03708764415812,6.40440264056117e-05,0.0243551724227973,0.610795571852221,"UBQLN1","ubiquilin 1"
"179","ILMN_1805395",-0.0832225739198371,8.23881653104559,-4.03951143244195,6.34098132844415e-05,0.0243551724227973,0.620211001146914,"LTBP3","latent transforming growth factor beta binding protein 3"
"227","ILMN_2227495",-0.162752146819262,12.108739905162,-4.03551739879635,6.44581109216045e-05,0.0243551724227973,0.60469860469587,"ZNF549","zinc finger protein 549"
"247","ILMN_2367239",0.0403098584180936,7.98523471274006,4.04163983136852,6.28578160248248e-05,0.0243551724227973,0.628483282017429,"RCAN1","regulator of calcineurin 1"
"168","ILMN_1795762",0.153811553959487,11.373138600336,4.02652096255563,6.68799859886578e-05,0.0250758790543012,0.569809525258525,"PLEK","pleckstrin"
"197","ILMN_1880280",-0.109367181943968,8.68501771474465,-4.01898216737655,6.89757580624267e-05,0.0256642473242657,0.54062892713277,"FOXP1-IT1","FOXP1 intronic transcript 1"
"104","ILMN_1747052",0.0600614376207584,8.148986698834,4.00225819561719,7.3849749490112e-05,0.0271166587869757,0.476076150110644,"ITGA4","integrin subunit alpha 4"
"180","ILMN_1805992",0.103546073728015,8.33660333304825,4.00178616491128,7.39919498311061e-05,0.0271166587869757,0.474257785638269,"SHTN1","shootin 1"
"98","ILMN_1741159",0.0968685399948352,8.57051085663771,3.99690851845638,7.54766481851601e-05,0.0274543491480677,0.455479692067435,"MAP3K8","mitogen-activated protein kinase kinase kinase 8"
"75","ILMN_1720113",0.0239556734322113,7.82063779805164,3.99404608146803,7.63610577553519e-05,0.027570301311936,0.444469704458107,"PTPRO","protein tyrosine phosphatase receptor type O"
"66","ILMN_1714418",-0.130983084765511,8.62135178284317,-3.97598694388081,8.21716135979495e-05,0.0294500646322886,0.375176492507418,"RFLNB","refilin B"
"175","ILMN_1801822",0.131621521302653,9.24682930360417,3.96713992859865,8.51688943916576e-05,0.0303014762805706,0.341336808332389,"ARK2N","arkadia (RNF111) N-terminal like PKA signaling regulator 2N"
"62","ILMN_1711878",0.0760032654989757,8.40075331910382,3.96313843974607,8.65583449660301e-05,0.0303906892352445,0.326054188090106,"ENOPH1","enolase-phosphatase 1"
"116","ILMN_1761733",0.147617954682181,11.3128315954492,3.96282909807418,8.66666489618601e-05,0.0303906892352445,0.324873336902614,"HLA-DMB","major histocompatibility complex, class II, DM beta"
"109","ILMN_1750785",-0.0862956995743041,8.40576054475867,-3.95905771624462,8.79974262814011e-05,0.0306369325129146,0.310483715728409,"SYTL1","synaptotagmin like 1"
"207","ILMN_2087303",-0.124862172489273,8.88741204869406,-3.95506648427505,8.94268683769574e-05,0.0309137902016288,0.295269133244359,"XKR8","XK related 8"
"84","ILMN_1727001",0.0658557752545708,8.33219945834907,3.94821598152221,9.19317910910186e-05,0.0315559109954819,0.269188268752146,"DDX46","DEAD-box helicase 46"
"205","ILMN_2072541",0.0700515362320058,8.20527888132325,3.94626891779258,9.26557930338365e-05,0.031582018629757,0.26178318602316,"RAB11FIP2","RAB11 family interacting protein 2"
"14","ILMN_1661683",-0.0235478644051677,7.78752832468275,-3.94053719334126,9.48185918445647e-05,0.0320947764144984,0.240003983331416,"THRA","thyroid hormone receptor alpha"
"24","ILMN_1670638",-0.0980646845189046,8.90702270756418,-3.93723665795144,9.60856256975808e-05,0.0322993487431137,0.227476086751687,"PITPNC1","phosphatidylinositol transfer protein cytoplasmic 1"
"70","ILMN_1716816",0.147061000261141,10.2296650909749,3.93245445178283,9.79499461565368e-05,0.0323871872224657,0.209341515412744,"TMEM87A","transmembrane protein 87A"
"128","ILMN_1768754",-0.103383687999138,8.65160128072971,-3.9330174076414,9.77287139197634e-05,0.0323871872224657,0.211475231559691,"PILRB","paired immunoglobin like type 2 receptor beta"
"129","ILMN_1768754",-0.103383687999138,8.65160128072971,-3.9330174076414,9.77287139197634e-05,0.0323871872224657,0.211475231559691,"STAG3L5P-PVRIG2P-PILRB","STAG3L5P-PVRIG2P-PILRB readthrough"
"167","ILMN_1795228",0.204515259225222,10.8123469438652,3.93146403233822,9.83403165427132e-05,0.0323871872224657,0.205588315973911,"ZFAND5","zinc finger AN1-type containing 5"
"102","ILMN_1743205",-0.114531451621719,8.39345845573241,-3.92656214631258,0.000100294174278042,0.0328089841789283,0.187025546793758,"ABCA7","ATP binding cassette subfamily A member 7"
"11","ILMN_1659490",-0.123921712428455,8.52051719903818,-3.92205651091054,0.000102122473805282,0.032853476718968,0.169982335780913,NA,NA
"72","ILMN_1717052",-0.0847458958319276,8.31614071643861,-3.92125191271517,0.00010245226829599,0.032853476718968,0.166940744621285,"STARD10","StAR related lipid transfer domain containing 10"
"166","ILMN_1793433",0.168467083193656,10.1147204797294,3.92329893297679,0.000101615195318327,0.032853476718968,0.174680156423669,"RAB10","RAB10, member RAS oncogene family"
"130","ILMN_1768773",-0.0801199762188816,8.58434824135031,-3.91494197912815,0.000105073827707781,0.0332565487670951,0.143107692054508,"EGLN2","egl-9 family hypoxia inducible factor 2"
"131","ILMN_1768773",-0.0801199762188816,8.58434824135031,-3.91494197912815,0.000105073827707781,0.0332565487670951,0.143107692054508,"RAB4B-EGLN2","RAB4B-EGLN2 readthrough (NMD candidate)"
"204","ILMN_2070052",-0.1802890817431,10.3050314712953,-3.91514086691037,0.000104990235902621,0.0332565487670951,0.143858359445419,"NPIPB13","nuclear pore complex interacting protein family, member B13"
"23","ILMN_1670472",0.0752080839369107,9.18912334913146,3.91271307382219,0.000106014949588099,0.0333379398246652,0.134697504832836,"FAF2","Fas associated factor family member 2"
"193","ILMN_1861896",-0.0409130602452077,7.96214467262703,-3.91077786748725,0.000106838529771969,0.0333815616547775,0.127399130440404,NA,NA
"22","ILMN_1669502",0.138104563113666,9.03814766291172,3.90104606806553,0.000111072813640961,0.0340532543412776,0.0907479146097439,"E2F3","E2F transcription factor 3"
"56","ILMN_1704876",0.104395472686964,8.66220084420974,3.903949334642,0.000109793263587141,0.0340532543412776,0.101673089880008,"USP38","ubiquitin specific peptidase 38"
"122","ILMN_1764549",0.0886142041430205,8.50438395399782,3.90102031197639,0.000111084227981271,0.0340532543412776,0.0906510267034175,"UBE3A","ubiquitin protein ligase E3A"
"21","ILMN_1667319",-0.0813647478613984,8.28121547393416,-3.89834855438895,0.000112274322905141,0.0340706769880196,0.0806037862310962,"PLPPR2","phospholipid phosphatase related 2"
"60","ILMN_1710209",0.0443349364134136,8.0086438900098,3.89775786097352,0.000112539062719444,0.0340706769880196,0.0783833280496449,"MFSD6","major facilitator superfamily domain containing 6"
"68","ILMN_1716105",-0.188582144448866,9.84130316325573,-3.89316140481683,0.000114619405991331,0.034274718324107,0.0611156368214907,"NLRP12","NLR family pyrin domain containing 12"
"230","ILMN_2261600",0.279437113058789,8.77479000419601,3.89426895222316,0.000114114830297862,0.034274718324107,0.0652746684734096,"FCGR1A","Fc gamma receptor Ia"
"231","ILMN_2261600",0.279437113058789,8.77479000419601,3.89426895222316,0.000114114830297862,0.034274718324107,0.0652746684734096,"FCGR1BP","Fc gamma receptor Ib, pseudogene"
